,number,value,datetime_start,datetime_complete,duration,params_encoded_space_dim,params_lr,params_n_channels,params_optimizer,params_weight_decay,state
0,0,0.14688903093338013,2021-11-27 18:57:59.480108,2021-11-27 18:59:20.532924,0 days 00:01:21.052816,7,0.000217521303508016,5,RMSprop,0.25831593337718994,COMPLETE
1,1,0.1923656463623047,2021-11-27 18:59:20.532924,2021-11-27 19:01:27.842661,0 days 00:02:07.309737,8,3.8818649654678455e-05,12,SGD,0.6361423969760083,COMPLETE
2,2,0.027770254760980606,2021-11-27 19:01:27.842661,2021-11-27 19:05:16.052194,0 days 00:03:48.209533,3,0.0029164907192523056,12,RMSprop,1.5332067319004993e-05,COMPLETE
3,3,0.12502862513065338,2021-11-27 19:05:16.054192,2021-11-27 19:06:59.869961,0 days 00:01:43.815769,6,0.0039803320837180425,8,RMSprop,0.00670900440832642,COMPLETE
4,4,0.11511741578578949,2021-11-27 19:06:59.874052,2021-11-27 19:08:31.626672,0 days 00:01:31.752620,4,9.192196461415369e-05,5,RMSprop,1.6286176570936745e-05,COMPLETE
5,5,0.1459306925535202,2021-11-27 19:08:31.634204,2021-11-27 19:08:51.038894,0 days 00:00:19.404690,3,0.0001160450815737375,6,Adam,0.10392540783005871,PRUNED
6,6,0.16934168338775635,2021-11-27 19:08:51.040315,2021-11-27 19:09:09.348771,0 days 00:00:18.308456,4,0.00012314932686860585,5,RMSprop,0.00042012944974875065,PRUNED
7,7,0.1246015653014183,2021-11-27 19:09:09.349771,2021-11-27 19:11:19.034622,0 days 00:02:09.684851,5,0.07821269530933174,9,SGD,2.2830710727002946e-05,COMPLETE
8,8,0.18471065163612366,2021-11-27 19:11:19.043085,2021-11-27 19:11:38.758776,0 days 00:00:19.715691,7,1.2157527461365611e-05,6,RMSprop,0.005862303639282958,PRUNED
9,9,0.3018226623535156,2021-11-27 19:11:38.759321,2021-11-27 19:12:14.995834,0 days 00:00:36.236513,5,0.06044209590349073,9,RMSprop,1.8499040731373366e-05,PRUNED
10,10,0.038656800985336304,2021-11-27 19:12:14.996836,2021-11-27 19:15:11.457965,0 days 00:02:56.461129,2,0.0032381455358569417,12,Adam,0.0005862939852673317,COMPLETE
11,11,0.03593422472476959,2021-11-27 19:15:11.460210,2021-11-27 19:17:45.181057,0 days 00:02:33.720847,2,0.0028227561568435473,12,Adam,0.0002853307613379615,COMPLETE
12,12,0.03508172929286957,2021-11-27 19:17:45.183631,2021-11-27 19:20:20.889051,0 days 00:02:35.705420,10,0.001371532537831182,11,Adam,0.0002737104499569907,COMPLETE
13,13,0.024286748841404915,2021-11-27 19:20:20.894917,2021-11-27 19:22:43.549980,0 days 00:02:22.655063,9,0.0006588621379962305,10,Adam,9.816780444605583e-05,COMPLETE
14,14,0.020358849316835403,2021-11-27 19:22:43.550981,2021-11-27 19:25:10.841071,0 days 00:02:27.290090,9,0.008687625651418831,10,Adam,6.963716305285209e-05,COMPLETE
15,15,0.02180762216448784,2021-11-27 19:25:10.844069,2021-11-27 19:27:36.259293,0 days 00:02:25.415224,10,0.017729689575233267,10,Adam,7.892897927311162e-05,COMPLETE
16,16,0.09103692322969437,2021-11-27 19:27:36.260335,2021-11-27 19:27:56.283957,0 days 00:00:20.023622,10,0.01958810308344224,8,Adam,0.001525341860544933,PRUNED
17,17,0.02216702327132225,2021-11-27 19:27:56.285330,2021-11-27 19:30:17.413851,0 days 00:02:21.128521,9,0.012398857282668235,10,Adam,7.714505425917775e-05,COMPLETE
18,18,0.021172648295760155,2021-11-27 19:30:17.417124,2021-11-27 19:32:31.396252,0 days 00:02:13.979128,9,0.016119626764966984,10,Adam,7.878762051732648e-05,COMPLETE
19,19,0.1572074294090271,2021-11-27 19:32:31.405272,2021-11-27 19:32:52.685411,0 days 00:00:21.280139,8,0.009857844341048876,7,SGD,0.031625261134423883,PRUNED
20,20,0.09233532845973969,2021-11-27 19:32:52.686474,2021-11-27 19:33:22.277597,0 days 00:00:29.591123,8,0.03903741331216261,11,Adam,0.001772297882317634,PRUNED
21,21,0.02321550063788891,2021-11-27 19:33:22.278601,2021-11-27 19:35:42.919710,0 days 00:02:20.641109,10,0.019821088357264538,10,Adam,7.565338178793996e-05,COMPLETE
22,22,0.01968805491924286,2021-11-27 19:35:42.926972,2021-11-27 19:37:57.070620,0 days 00:02:14.143648,9,0.007716469473126197,9,Adam,6.811230303499608e-05,COMPLETE
23,23,0.023262741044163704,2021-11-27 19:37:57.072135,2021-11-27 19:40:00.677047,0 days 00:02:03.604912,9,0.0071949878270521316,9,Adam,0.00013474927831460726,COMPLETE
24,24,0.12156752496957779,2021-11-27 19:40:00.679046,2021-11-27 19:40:18.881944,0 days 00:00:18.202898,7,0.000784438379083818,8,Adam,0.0010835445484743376,PRUNED
25,25,0.02208317443728447,2021-11-27 19:40:18.883011,2021-11-27 19:43:05.190884,0 days 00:02:46.307873,9,0.034490910209850824,11,Adam,3.845062721533234e-05,COMPLETE
26,26,0.17556172609329224,2021-11-27 19:43:05.192886,2021-11-27 19:43:30.342378,0 days 00:00:25.149492,8,0.005226392101460348,9,SGD,0.00016557667320519468,PRUNED
27,27,0.022323086857795715,2021-11-27 19:43:30.343740,2021-11-27 19:45:15.243468,0 days 00:01:44.899728,9,0.001413922123943637,7,Adam,3.7334844662289804e-05,COMPLETE
28,28,0.0235577505081892,2021-11-27 19:45:15.250347,2021-11-27 19:47:49.363728,0 days 00:02:34.113381,7,0.0004480667224564979,11,Adam,1.0291174338356189e-05,COMPLETE
29,29,0.02383493073284626,2021-11-27 19:47:49.365151,2021-11-27 19:49:14.682793,0 days 00:01:25.317642,6,0.032304919769701755,4,Adam,4.144168039803073e-05,COMPLETE
30,30,0.13641850650310516,2021-11-27 19:49:14.684984,2021-11-27 19:49:40.615224,0 days 00:00:25.930240,7,0.007345963534175349,10,SGD,0.0007579373014325047,PRUNED
31,31,0.032270096242427826,2021-11-27 19:49:40.616233,2021-11-27 19:50:35.225312,0 days 00:00:54.609079,10,0.016454879424940803,10,Adam,0.0001975090420175596,PRUNED
32,32,0.08871970325708389,2021-11-27 19:50:35.226308,2021-11-27 19:51:00.627843,0 days 00:00:25.401535,10,0.09722094190057236,9,Adam,5.312551084074551e-05,PRUNED
33,33,0.022491050884127617,2021-11-27 19:51:00.630179,2021-11-27 19:53:16.794190,0 days 00:02:16.164011,9,0.001839777874326468,10,Adam,0.00012736973063533924,COMPLETE
